obs_id,median_income_pred
id_000001,95026.22187813511
id_000002,87463.56876687624
id_000003,84066.28222215145
id_000004,89608.14779737366
id_000005,112206.35539701741
id_000006,129125.87196765159
id_000007,57923.79401902278
id_000008,53295.94202509254
id_000009,35191.44636885051
id_000010,67189.19502394245
id_000011,71807.45990762785
id_000012,42285.22692176876
id_000013,51766.259158376124
id_000014,52423.26069901045
id_000015,37115.097363975496
id_000016,55346.46139076004
id_000017,42116.963182777035
id_000018,45921.07199665956
id_000019,86393.19049634857
id_000020,109975.9552212972
id_000021,49291.11782080567
id_000022,90471.86062118804
id_000023,79156.24894691877
id_000024,75090.01536206483
id_000025,86621.66131088561
id_000026,86424.60016289653
id_000027,80272.84826135107
id_000028,96484.24170651729
id_000029,65866.31276263001
id_000030,51890.045619182965
id_000031,46172.670217956635
id_000032,39429.98931176626
id_000033,57440.987142509715
id_000034,82325.36583388348
id_000035,68475.43596746116
id_000036,111932.56827304447
id_000037,78666.95488334997
id_000038,74541.50290052673
id_000039,72787.46907376856
id_000040,81958.38132827099
id_000041,75737.82394510343
id_000042,80270.2345155213
id_000043,94610.56352965019
id_000044,108473.48809466459
id_000045,104771.67558172165
id_000046,105364.79028892098
id_000047,67323.68466118562
id_000048,64346.28675729043
id_000049,135125.62816583572
id_000050,158544.42045706627
id_000051,157289.1328088784
id_000052,136385.35822400264
id_000053,167281.14637421878
id_000054,81934.73142766788
id_000055,33923.76841889034
id_000056,46139.535674487604
id_000057,49006.74568200683
id_000058,66712.13882939538
id_000059,64005.20810053817
id_000060,75633.57132523446
id_000061,64065.273181064884
id_000062,65525.22553360185
id_000063,88626.9180830404
id_000064,64475.86998592018
id_000065,54197.404505170496
id_000066,73191.85257251575
id_000067,90280.71367684065
id_000068,75263.67394274643
id_000069,80906.67260290176
id_000070,65149.71892812241
id_000071,70576.16447820213
id_000072,66861.0625809917
id_000073,83603.7635159026
id_000074,100229.08007707135
id_000075,94570.08380440052
id_000076,78047.83651927399
id_000077,69003.57060899695
id_000078,74684.52196553217
id_000079,81417.58478699987
id_000080,83134.44193248071
id_000081,54013.139270270876
id_000082,51231.07413520321
id_000083,87201.17041399617
id_000084,39355.94800268911
id_000085,48112.75435970462
id_000086,45801.84443178069
id_000087,82502.909791877
id_000088,54369.5438828097
id_000089,59132.85857880135
id_000090,74927.88670247019
id_000091,65010.135375829646
id_000092,88039.15062356707
id_000093,80127.91219647256
id_000094,73431.60867531244
id_000095,61653.11084334293
id_000096,57457.52112745114
id_000097,72279.9721765685
id_000098,74788.59809569737
id_000099,55027.37755736437
id_000100,71409.56684071437
id_000101,86971.12891315442
id_000102,66383.4425265669
id_000103,80712.83357588168
id_000104,91073.0677526453
id_000105,58751.92181704069
id_000106,82343.60177011327
id_000107,78974.56944636468
id_000108,53353.981170741914
id_000109,37915.70418603241
id_000110,45196.2570349186
id_000111,56674.41923885495
id_000112,59288.45698898585
id_000113,54017.36591966662
id_000114,40574.419955924786
id_000115,71501.9873367021
id_000116,56833.12014919401
id_000117,45397.85743986736
id_000118,50152.69924909252
id_000119,34058.45274353911
id_000120,42285.69319079699
id_000121,31444.759818267055
id_000122,53227.817010784296
id_000123,44122.41991666719
id_000124,38824.23782406182
id_000125,31327.352947928262
id_000126,72675.89204178889
id_000127,79960.82329754619
id_000128,65266.95013408215
id_000129,52930.40462601793
id_000130,64256.15782403713
id_000131,45919.2934806678
id_000132,44754.880928312225
id_000133,42362.777093073986
id_000134,46552.947273705875
id_000135,32625.627879295575
id_000136,59718.97913847654
id_000137,62528.628900114134
id_000138,59597.9321940498
id_000139,51935.80583354552
id_000140,63092.77030270686
id_000141,44574.99739575958
id_000142,44804.825263188955
id_000143,66274.60621156424
id_000144,42839.37615506198
id_000145,40942.76263515827
id_000146,53390.52189000364
id_000147,40766.71331753323
id_000148,40588.54187402686
id_000149,38814.60378634449
id_000150,46327.88457271368
id_000151,42973.17328934338
id_000152,42682.892323895365
id_000153,38091.01155390811
id_000154,33332.33835855975
id_000155,43532.66831288133
id_000156,42328.566892747425
id_000157,41545.83221299601
id_000158,40035.637595254026
id_000159,34551.5653151035
id_000160,37999.239587170545
id_000161,46737.86048077465
id_000162,58547.493420052444
id_000163,48199.24452393095
id_000164,28971.742746701693
id_000165,17551.673423880628
id_000166,20735.165183817717
id_000167,18975.3057341437
id_000168,17667.095590827863
id_000169,26842.912622879034
id_000170,20728.814440280865
id_000171,51298.17502511454
id_000172,46326.78087056131
id_000173,51823.00388857744
id_000174,33524.610731716784
id_000175,54445.58249372724
id_000176,30666.797424451106
id_000177,33221.82514853046
id_000178,41066.793363252815
id_000179,30161.865397036014
id_000180,56748.61875289516
id_000181,40402.0735874535
id_000182,51024.539703672344
