obs_id,crime_type_pred
id_000001,3
id_000002,6
id_000003,6
id_000004,12
id_000005,11
id_000006,12
id_000007,6
id_000008,9
id_000009,3
id_000010,1
id_000011,3
id_000012,6
id_000013,6
id_000014,2
id_000015,3
id_000016,4
id_000017,8
id_000018,8
id_000019,10
id_000020,12
id_000021,1
id_000022,1
id_000023,5
id_000024,8
id_000025,10
id_000026,6
id_000027,4
id_000028,6
id_000029,4
id_000030,8
id_000031,7
id_000032,4
id_000033,10
id_000034,1
id_000035,4
id_000036,6
id_000037,6
id_000038,4
id_000039,6
id_000040,8
id_000041,3
id_000042,1
id_000043,2
id_000044,1
id_000045,10
id_000046,8
id_000047,9
id_000048,7
id_000049,10
id_000050,10
id_000051,6
id_000052,8
id_000053,8
id_000054,6
id_000055,4
id_000056,10
id_000057,4
id_000058,10
id_000059,5
id_000060,11
id_000061,8
id_000062,8
id_000063,5
id_000064,3
id_000065,3
id_000066,11
id_000067,5
id_000068,9
id_000069,8
id_000070,8
id_000071,8
id_000072,3
id_000073,3
id_000074,8
id_000075,7
id_000076,3
id_000077,8
id_000078,8
id_000079,3
id_000080,1
id_000081,4
id_000082,10
id_000083,8
id_000084,11
id_000085,1
id_000086,8
id_000087,6
id_000088,3
id_000089,3
id_000090,10
id_000091,8
id_000092,10
id_000093,8
id_000094,10
id_000095,8
id_000096,8
id_000097,3
id_000098,7
id_000099,9
id_000100,8
id_000101,10
id_000102,8
id_000103,12
id_000104,10
id_000105,3
id_000106,1
id_000107,8
id_000108,10
id_000109,12
id_000110,10
id_000111,10
id_000112,4
id_000113,3
id_000114,10
id_000115,8
id_000116,8
id_000117,8
id_000118,10
id_000119,9
id_000120,3
id_000121,6
id_000122,8
id_000123,11
id_000124,3
id_000125,8
id_000126,10
id_000127,5
id_000128,1
id_000129,3
id_000130,10
id_000131,4
id_000132,3
id_000133,10
id_000134,1
id_000135,10
id_000136,12
id_000137,5
id_000138,10
id_000139,5
id_000140,1
id_000141,3
id_000142,1
id_000143,1
id_000144,9
id_000145,3
id_000146,8
id_000147,4
id_000148,8
id_000149,1
id_000150,10
id_000151,12
id_000152,1
id_000153,4
id_000154,3
id_000155,8
id_000156,10
id_000157,8
id_000158,10
id_000159,11
id_000160,9
id_000161,5
id_000162,3
id_000163,8
id_000164,9
id_000165,1
id_000166,8
id_000167,11
id_000168,10
id_000169,5
id_000170,12
id_000171,3
id_000172,3
id_000173,9
id_000174,3
id_000175,8
id_000176,5
id_000177,5
id_000178,6
id_000179,6
id_000180,1
id_000181,6
id_000182,12
id_000183,10
id_000184,8
id_000185,6
id_000186,3
id_000187,11
id_000188,8
id_000189,1
id_000190,1
id_000191,8
id_000192,5
id_000193,3
id_000194,5
id_000195,6
id_000196,12
id_000197,4
id_000198,6
id_000199,6
id_000200,8
id_000201,6
id_000202,8
id_000203,8
id_000204,6
id_000205,3
id_000206,4
id_000207,6
id_000208,2
id_000209,3
id_000210,9
id_000211,1
id_000212,5
id_000213,10
id_000214,9
id_000215,11
id_000216,6
id_000217,10
id_000218,10
id_000219,12
id_000220,8
id_000221,3
id_000222,11
id_000223,12
id_000224,10
id_000225,4
id_000226,8
id_000227,6
id_000228,4
id_000229,1
id_000230,3
id_000231,12
id_000232,1
id_000233,8
id_000234,3
id_000235,10
id_000236,10
id_000237,11
id_000238,10
id_000239,1
id_000240,1
id_000241,10
id_000242,5
id_000243,10
id_000244,11
id_000245,8
id_000246,10
id_000247,10
id_000248,10
id_000249,8
id_000250,2
id_000251,5
id_000252,3
id_000253,8
id_000254,4
id_000255,6
id_000256,5
id_000257,1
id_000258,10
id_000259,1
id_000260,12
id_000261,9
id_000262,11
id_000263,8
id_000264,3
id_000265,6
id_000266,3
id_000267,8
id_000268,11
id_000269,6
id_000270,1
id_000271,1
id_000272,6
