obs_id,category_pred
id_000001,2
id_000002,1
id_000003,1
id_000004,3
id_000005,1
id_000006,2
id_000007,1
id_000008,3
id_000009,1
id_000010,2
id_000011,2
id_000012,2
id_000013,3
id_000014,2
id_000015,3
id_000016,1
id_000017,3
id_000018,2
id_000019,2
id_000020,3
id_000021,2
id_000022,2
id_000023,1
id_000024,3
id_000025,3
id_000026,2
id_000027,1
id_000028,2
id_000029,2
id_000030,2
id_000031,2
id_000032,1
id_000033,2
id_000034,2
id_000035,2
id_000036,2
id_000037,2
id_000038,1
id_000039,1
id_000040,3
id_000041,1
id_000042,2
id_000043,2
id_000044,2
id_000045,2
id_000046,3
id_000047,2
id_000048,3
id_000049,1
id_000050,2
id_000051,3
id_000052,2
id_000053,2
id_000054,2
id_000055,2
id_000056,2
id_000057,1
id_000058,1
id_000059,1
id_000060,3
id_000061,2
id_000062,2
id_000063,2
id_000064,3
id_000065,1
id_000066,2
id_000067,2
id_000068,1
id_000069,2
id_000070,3
id_000071,1
id_000072,2
id_000073,2
id_000074,1
id_000075,2
id_000076,1
id_000077,1
id_000078,1
id_000079,2
id_000080,2
id_000081,2
id_000082,2
id_000083,3
id_000084,3
id_000085,1
id_000086,2
id_000087,3
id_000088,3
id_000089,3
id_000090,2
id_000091,2
id_000092,2
id_000093,1
id_000094,1
id_000095,3
id_000096,2
id_000097,1
id_000098,3
id_000099,2
id_000100,3
id_000101,2
id_000102,3
id_000103,2
id_000104,3
id_000105,2
id_000106,2
id_000107,3
id_000108,1
id_000109,2
id_000110,1
id_000111,2
id_000112,3
id_000113,2
id_000114,1
id_000115,2
id_000116,2
id_000117,3
id_000118,1
id_000119,2
id_000120,2
id_000121,2
id_000122,2
id_000123,1
id_000124,2
id_000125,2
id_000126,3
id_000127,3
id_000128,2
id_000129,3
id_000130,2
id_000131,2
id_000132,2
id_000133,1
id_000134,3
id_000135,2
id_000136,2
id_000137,3
id_000138,2
id_000139,2
id_000140,1
id_000141,1
id_000142,2
id_000143,3
id_000144,2
id_000145,2
id_000146,3
id_000147,2
id_000148,2
id_000149,1
id_000150,2
id_000151,2
id_000152,2
id_000153,2
id_000154,1
id_000155,2
id_000156,1
id_000157,3
id_000158,2
id_000159,2
id_000160,3
id_000161,3
id_000162,1
id_000163,3
id_000164,2
id_000165,2
id_000166,2
id_000167,2
id_000168,2
id_000169,2
id_000170,3
id_000171,2
id_000172,3
id_000173,1
id_000174,1
id_000175,2
id_000176,2
id_000177,1
id_000178,1
id_000179,2
id_000180,1
id_000181,1
id_000182,3
id_000183,2
id_000184,2
id_000185,2
id_000186,2
id_000187,3
id_000188,1
id_000189,1
id_000190,1
id_000191,1
id_000192,2
id_000193,3
id_000194,2
id_000195,2
id_000196,2
id_000197,2
id_000198,3
id_000199,1
id_000200,2
id_000201,3
id_000202,1
id_000203,2
id_000204,3
id_000205,3
id_000206,2
id_000207,1
id_000208,2
id_000209,2
id_000210,3
id_000211,1
id_000212,2
id_000213,2
id_000214,3
id_000215,1
id_000216,2
id_000217,2
id_000218,1
id_000219,3
id_000220,1
id_000221,2
id_000222,3
id_000223,2
id_000224,2
id_000225,2
id_000226,2
id_000227,2
id_000228,3
id_000229,3
id_000230,2
id_000231,2
id_000232,2
id_000233,2
id_000234,2
id_000235,2
id_000236,3
id_000237,1
id_000238,3
id_000239,3
id_000240,3
id_000241,3
id_000242,1
id_000243,3
id_000244,1
id_000245,1
id_000246,3
id_000247,2
id_000248,2
id_000249,2
id_000250,2
id_000251,1
id_000252,2
id_000253,3
id_000254,2
id_000255,1
id_000256,2
id_000257,1
id_000258,3
id_000259,2
id_000260,3
id_000261,3
id_000262,2
id_000263,1
id_000264,2
id_000265,2
id_000266,3
id_000267,3
id_000268,2
id_000269,2
id_000270,3
id_000271,2
id_000272,2
id_000273,2
id_000274,3
id_000275,2
id_000276,3
id_000277,1
id_000278,2
id_000279,3
id_000280,3
id_000281,2
id_000282,3
id_000283,2
id_000284,2
id_000285,2
id_000286,3
id_000287,2
id_000288,1
id_000289,3
id_000290,1
id_000291,2
id_000292,1
id_000293,2
id_000294,3
id_000295,2
id_000296,3
id_000297,1
id_000298,1
id_000299,3
id_000300,2
id_000301,2
id_000302,2
id_000303,2
id_000304,3
id_000305,3
id_000306,2
id_000307,3
id_000308,2
id_000309,2
id_000310,2
id_000311,2
id_000312,2
id_000313,3
id_000314,2
id_000315,2
id_000316,2
id_000317,2
id_000318,3
id_000319,2
id_000320,2
id_000321,1
id_000322,1
id_000323,1
id_000324,2
id_000325,2
id_000326,1
id_000327,2
id_000328,2
id_000329,1
id_000330,2
id_000331,2
id_000332,1
id_000333,3
id_000334,1
id_000335,2
id_000336,2
id_000337,1
id_000338,2
id_000339,2
id_000340,1
id_000341,1
id_000342,2
id_000343,2
id_000344,2
id_000345,1
id_000346,2
id_000347,1
id_000348,3
id_000349,1
id_000350,1
id_000351,1
id_000352,2
id_000353,3
id_000354,2
id_000355,2
id_000356,3
id_000357,2
id_000358,1
id_000359,2
id_000360,1
id_000361,1
id_000362,1
id_000363,3
id_000364,3
id_000365,2
id_000366,3
id_000367,1
id_000368,3
id_000369,2
id_000370,2
id_000371,2
id_000372,2
id_000373,2
id_000374,2
id_000375,2
id_000376,2
id_000377,2
id_000378,1
id_000379,2
id_000380,1
id_000381,1
id_000382,2
id_000383,2
id_000384,1
id_000385,2
id_000386,1
id_000387,3
id_000388,2
id_000389,1
id_000390,1
id_000391,2
id_000392,1
id_000393,1
id_000394,3
id_000395,2
id_000396,3
id_000397,2
id_000398,1
id_000399,2
id_000400,1
id_000401,3
id_000402,2
id_000403,1
id_000404,2
id_000405,2
id_000406,1
id_000407,2
id_000408,3
id_000409,1
id_000410,1
id_000411,1
id_000412,1
id_000413,2
id_000414,2
id_000415,2
id_000416,1
id_000417,1
id_000418,2
id_000419,2
id_000420,2
id_000421,2
id_000422,1
id_000423,1
id_000424,3
id_000425,2
id_000426,2
id_000427,1
id_000428,1
id_000429,2
id_000430,1
id_000431,1
id_000432,1
id_000433,1
id_000434,2
id_000435,2
id_000436,2
id_000437,2
id_000438,1
id_000439,3
id_000440,2
id_000441,2
id_000442,2
id_000443,1
id_000444,2
id_000445,3
id_000446,2
id_000447,2
id_000448,1
id_000449,2
id_000450,2
id_000451,1
id_000452,1
id_000453,2
id_000454,2
id_000455,1
id_000456,2
id_000457,2
id_000458,2
id_000459,2
id_000460,2
id_000461,2
id_000462,1
id_000463,2
id_000464,2
id_000465,2
id_000466,1
id_000467,1
id_000468,2
id_000469,2
id_000470,3
id_000471,3
id_000472,2
id_000473,2
id_000474,2
id_000475,1
id_000476,1
id_000477,2
id_000478,2
id_000479,3
id_000480,3
id_000481,2
id_000482,2
id_000483,1
id_000484,3
id_000485,2
id_000486,2
id_000487,1
id_000488,1
id_000489,2
id_000490,1
id_000491,1
id_000492,3
id_000493,3
id_000494,2
id_000495,3
id_000496,2
id_000497,2
id_000498,1
id_000499,1
id_000500,1
id_000501,2
id_000502,2
id_000503,1
id_000504,1
id_000505,3
id_000506,3
id_000507,1
id_000508,1
id_000509,2
id_000510,3
id_000511,3
id_000512,2
id_000513,2
id_000514,1
id_000515,3
id_000516,2
id_000517,2
id_000518,2
id_000519,1
id_000520,2
id_000521,2
id_000522,1
id_000523,3
id_000524,3
id_000525,2
id_000526,2
id_000527,3
id_000528,3
id_000529,2
id_000530,3
id_000531,3
id_000532,1
id_000533,3
id_000534,3
id_000535,1
id_000536,1
id_000537,3
id_000538,2
id_000539,2
id_000540,3
id_000541,2
id_000542,3
id_000543,1
id_000544,3
id_000545,2
id_000546,3
id_000547,1
id_000548,2
id_000549,2
id_000550,3
id_000551,2
id_000552,2
id_000553,2
id_000554,3
id_000555,2
id_000556,1
id_000557,1
id_000558,2
id_000559,2
id_000560,3
id_000561,3
id_000562,2
id_000563,2
id_000564,2
id_000565,2
id_000566,1
id_000567,3
id_000568,2
id_000569,1
id_000570,2
id_000571,2
id_000572,2
id_000573,1
id_000574,2
id_000575,3
id_000576,2
id_000577,2
id_000578,3
id_000579,3
id_000580,1
id_000581,1
id_000582,2
id_000583,1
id_000584,1
id_000585,1
id_000586,1
id_000587,3
id_000588,3
id_000589,2
id_000590,2
id_000591,2
id_000592,1
id_000593,2
id_000594,2
id_000595,3
id_000596,2
id_000597,3
id_000598,1
id_000599,2
id_000600,2
id_000601,2
id_000602,2
id_000603,2
id_000604,2
id_000605,2
id_000606,1
id_000607,1
id_000608,2
id_000609,1
id_000610,1
id_000611,2
id_000612,3
id_000613,2
id_000614,1
id_000615,3
id_000616,2
id_000617,1
id_000618,2
id_000619,2
id_000620,3
id_000621,2
id_000622,2
id_000623,2
id_000624,2
id_000625,1
id_000626,2
id_000627,2
id_000628,3
id_000629,3
id_000630,1
id_000631,2
id_000632,2
id_000633,2
id_000634,3
id_000635,1
id_000636,1
id_000637,2
id_000638,1
id_000639,2
id_000640,2
id_000641,2
id_000642,2
id_000643,2
id_000644,2
id_000645,2
id_000646,2
id_000647,2
id_000648,3
id_000649,2
id_000650,2
id_000651,2
id_000652,2
id_000653,3
id_000654,3
id_000655,1
id_000656,2
id_000657,2
id_000658,2
id_000659,3
id_000660,2
id_000661,1
id_000662,2
id_000663,1
id_000664,2
id_000665,3
id_000666,1
id_000667,2
id_000668,2
id_000669,2
id_000670,2
id_000671,2
id_000672,2
id_000673,3
id_000674,2
id_000675,3
id_000676,2
id_000677,1
id_000678,1
id_000679,2
id_000680,2
id_000681,2
id_000682,2
id_000683,3
id_000684,3
id_000685,2
id_000686,1
id_000687,3
id_000688,2
id_000689,1
id_000690,2
id_000691,2
id_000692,3
id_000693,3
