obs_id,class_pred
id_001016,3
id_000353,2
id_000693,1
id_000814,5
id_000502,1
id_000966,3
id_001358,5
id_001245,4
id_000058,1
id_001909,5
id_001100,3
id_001738,5
id_001806,5
id_000429,1
id_000012,3
id_000695,1
id_001849,5
id_001958,5
id_001856,5
id_000516,1
id_001604,5
id_001639,5
id_001601,5
id_001118,3
id_001323,3
id_001130,3
id_000565,1
id_001116,3
id_000180,1
id_001766,3
id_001891,5
id_001309,3
id_001161,3
id_000858,3
id_000765,1
id_000406,1
id_000720,1
id_001707,5
id_001529,1
id_000296,2
id_000545,1
id_001041,3
id_001349,4
id_001935,5
id_001463,3
id_000457,1
id_001278,5
id_001962,5
id_000271,2
id_000390,2
id_000567,1
id_001059,3
id_000503,5
id_000856,3
id_000635,1
id_000780,1
id_001636,5
id_001447,5
id_000423,1
id_001399,3
id_001564,2
id_001486,1
id_001638,5
id_000633,1
id_001495,3
id_001954,5
id_000210,5
id_001283,1
id_001588,1
id_001145,3
id_000663,1
id_001842,5
id_001831,5
id_000761,3
id_000672,1
id_001885,5
id_000522,1
id_000082,1
id_001266,4
id_001542,1
id_001362,1
id_001019,3
id_000859,3
id_000971,3
id_001177,3
id_001622,5
id_000772,1
id_001959,3
id_000332,1
id_000713,1
id_000736,5
id_000900,3
id_001927,5
id_001138,3
id_000631,5
id_001902,5
id_000326,3
id_001387,5
id_001926,5
id_001814,5
id_001441,5
id_000717,1
id_001983,3
id_001681,5
id_001276,4
id_000403,1
id_001264,4
id_000399,2
id_000692,1
id_000038,3
id_001166,3
id_001338,3
id_001501,1
id_000074,1
id_000251,2
id_000291,2
id_000161,2
id_000349,1
id_000552,1
id_001903,5
id_000336,3
id_000370,2
id_001046,3
id_000557,1
id_001718,5
id_000638,1
id_000628,1
id_000007,1
id_001159,3
id_000045,1
id_000216,2
id_000142,5
id_000297,2
id_000268,2
id_000636,1
id_001725,5
id_000575,1
id_000130,2
id_001621,5
id_000311,2
id_001630,5
id_000316,5
id_001409,5
id_001068,3
id_000078,2
id_000964,3
id_000298,2
id_000950,3
id_001121,3
id_000325,1
id_001219,3
id_000957,3
id_000215,1
id_000807,3
id_000397,2
id_000602,2
id_000367,5
id_001820,5
id_000223,1
id_000645,1
id_001980,3
id_000509,1
id_000984,3
id_000382,2
id_001590,5
id_000337,2
id_000233,2
id_000132,2
id_001666,1
id_000655,1
id_001201,1
id_000982,3
id_001197,3
id_000861,3
id_001039,3
id_000001,2
id_000448,1
id_000547,1
id_000755,1
id_000601,3
id_000748,1
id_001917,5
id_001721,5
id_000680,1
id_000532,1
id_000511,5
id_000690,1
id_000280,2
id_001025,3
id_001090,3
id_000852,3
id_001288,5
id_000111,2
id_001861,5
id_000169,2
